q,sigma,ctrl,nis,dv,rms,div
1e-14,0.005,lqr,8554.340396277024,84.33049302422359,1.1748709464403297,False
1e-14,0.005,lqr,8554.047989520379,84.32618254083249,1.1441168668252601,False
1e-14,0.005,lqr,8571.153261589063,86.98264613087413,4.349319663077803,False
1e-14,0.005,lqr,8559.628949647635,85.1684252452975,1.6895716777321206,False
1e-14,0.01,lqr,2302.9341088669094,53.03237576331064,0.9882975800343828,False
1e-14,0.01,lqr,2302.7408951480247,53.036037018879135,0.9513189131877816,False
1e-14,0.01,lqr,2309.5865177631404,55.71060302848047,4.303249459782733,False
1e-14,0.01,lqr,2304.267387304112,53.89854340915558,1.5647333820963358,False
1e-14,0.03,lqr,267.23483636297397,25.10610241533437,0.7650633363986311,False
1e-14,0.03,lqr,267.09991462331567,25.12957714847578,0.716675725383139,False
1e-14,0.03,lqr,268.35901784266866,27.816367124861312,4.258424492279307,False
1e-14,0.03,lqr,267.30172195412246,25.970815064518696,1.4340086944614976,False
1e-14,0.1,lqr,26.8857605372422,11.654972045846394,0.6402507443588665,False
1e-14,0.1,lqr,26.83707453471558,11.638119343860682,0.5813742142870701,False
1e-14,0.1,lqr,27.022139918082722,14.346483420731065,4.244351884677977,False
1e-14,0.1,lqr,26.85615260892423,12.48707365638377,1.37467184998088,False
1e-14,1.0,lqr,3.2250083593457046,3.2420306418353353,0.6002699405868164,False
1e-14,1.0,lqr,3.2252993217773547,3.1812736183617982,0.5332348960714794,False
1e-14,1.0,lqr,3.2285458984593034,5.919329556584421,4.253834514031978,False
1e-14,1.0,lqr,3.221793995351284,4.045387401070797,1.3603539752664962,False
3.162e-10,0.005,lqr,4.51242733498438,136.31617545301555,0.7723779978780505,False
3.162e-10,0.005,lqr,4.519022816924903,136.31119093722737,0.7266279404712866,False
3.162e-10,0.005,lqr,4.532934303166795,138.90733721968624,4.250876434648917,False
3.162e-10,0.005,lqr,4.530636865175507,137.11929040317492,1.4318527180561726,False
3.162e-10,0.01,lqr,5.066721931362106,139.32369380106152,0.7962112845867833,False
3.162e-10,0.01,lqr,5.075466568965916,139.3090195064471,0.7518852896292328,False
3.162e-10,0.01,lqr,5.087384050649539,141.90819997824704,4.255084138535272,False
3.162e-10,0.01,lqr,5.0856898182818595,140.12436905514383,1.4448683210065842,False
3.162e-10,0.03,lqr,5.887373177868212,148.81767567301372,0.8903290837520976,False
3.162e-10,0.03,lqr,5.893008511953611,148.76379220688838,0.8508464297385551,False
3.162e-10,0.03,lqr,5.899808785709701,151.38067761973608,4.272545073947575,False
3.162e-10,0.03,lqr,5.899635757187938,149.61055690069458,1.4987795312542536,False
3.162e-10,0.1,lqr,5.921842119018969,161.2439997249053,1.11414805509806,False
3.162e-10,0.1,lqr,5.915418295651232,161.04987718745292,1.0827526617126833,False
3.162e-10,0.1,lqr,5.921964685242047,163.7271853388405,4.324222079923161,False
3.162e-10,0.1,lqr,5.92082634857076,161.99658232055125,1.6416767903193543,False
3.162e-10,1.0,lqr,3.1055898551830743,105.06738141771288,1.4144379195907688,False
3.162e-10,1.0,lqr,3.1076254220449244,105.57887437751862,1.409827366867431,False
3.162e-10,1.0,lqr,3.1099089404962577,108.24969739576082,4.420131779304626,False
3.162e-10,1.0,lqr,3.1032147316267285,105.65101138428773,1.8492964376210548,False
1e-14,0.005,mpc,8380.61697171186,19.1589790230767,4.5755152404086,False
1e-14,0.005,mpc,8379.908913833697,19.22854022162133,4.565427047759264,False
1e-14,0.005,mpc,8370.268496058861,21.07901743881913,6.823810918034352,False
1e-14,0.005,mpc,8383.46820389032,19.699094665349648,4.8575262147025615,False
1e-14,0.01,mpc,2288.1068164690005,10.107563179546679,2.557815236111565,False
1e-14,0.01,mpc,2287.5688060133452,10.170265503261191,2.5386670762559014,False
1e-14,0.01,mpc,2284.965226586564,12.02030617864907,5.669485697061492,False
1e-14,0.01,mpc,2288.5150938332663,10.638025905677681,3.0363378684372813,False
1e-14,0.03,mpc,266.9451943570319,3.0985588902850494,0.9310151828894487,False
1e-14,0.03,mpc,266.69235655586533,3.1534366853699054,0.8744377099926771,False
1e-14,0.03,mpc,266.4382948493044,5.016239009878978,5.143946511933141,False
1e-14,0.03,mpc,266.82522202462127,3.6221979211792097,1.884498791376051,False
1e-14,0.1,mpc,26.880928833926177,0.9740644796766451,0.6511105068003631,False
1e-14,0.1,mpc,26.80370231979484,1.0312713206163728,0.5650012987639393,False
1e-14,0.1,mpc,26.795111061519517,2.888849103920886,5.101552966693228,False
1e-14,0.1,mpc,26.821470313254355,1.4972905031952433,1.7628948879932012,False
1e-14,1.0,mpc,3.2240295186115016,0.8926743549893678,0.6381432215610714,False
1e-14,1.0,mpc,3.2232980760555554,0.9361801952669362,0.5465580692516508,False
1e-14,1.0,mpc,3.2223443816833712,2.7855176648185838,5.100172050721358,False
1e-14,1.0,mpc,3.2204744486880164,1.4205533308652762,1.7580200686718914,False
3.162e-10,0.005,mpc,4.132628957290497,50.49284832981411,10.087926107061172,False
3.162e-10,0.005,mpc,4.139605711132319,50.5535698928154,10.0795835894987,False
3.162e-10,0.005,mpc,4.138037236699414,52.450035844836776,11.32023006030054,False
3.162e-10,0.005,mpc,4.142788193264384,51.10423442551485,10.209215597537465,False
3.162e-10,0.01,mpc,4.6871212545084155,50.519551880407526,10.145043251670879,False
3.162e-10,0.01,mpc,4.696299550108672,50.55278418671769,10.137993351238835,False
3.162e-10,0.01,mpc,4.695161958547542,52.569309683986276,11.394566213886563,False
3.162e-10,0.01,mpc,4.700528585427682,51.15494783560505,10.26678331546726,False
3.162e-10,0.03,mpc,5.480320360418636,50.491838255783115,10.341020131593801,False
3.162e-10,0.03,mpc,5.4862979791330115,50.50054783794243,10.339745443124613,False
3.162e-10,0.03,mpc,5.483010919073545,52.814579984333825,11.63168462029998,False
3.162e-10,0.03,mpc,5.490455659485685,51.29628065124568,10.479805000965793,False
3.162e-10,0.1,mpc,5.564682597654988,48.4148601294156,10.359087041046044,False
3.162e-10,0.1,mpc,5.558618431944386,48.82996470816655,10.408328912524025,False
3.162e-10,0.1,mpc,5.558538276484907,51.23063343742415,11.744952400801026,False
3.162e-10,0.1,mpc,5.563504725050735,49.72363370024268,10.601135871175604,False
3.162e-10,1.0,mpc,3.1057701830831346,25.6732418578441,6.053444834826852,False
3.162e-10,1.0,mpc,3.1069114492667986,26.6311651575243,6.375456762918034,False
3.162e-10,1.0,mpc,3.108958819693238,28.26150303418732,8.274046904006815,False
3.162e-10,1.0,mpc,3.103221428845657,26.98320515647383,6.520980273500139,False
